"time","air.T","lightAbsorption.panels_PAR_transmitted[1]","lightAbsorption.panels_PAR_transmitted[2]","weatherFromFile.weather.air_temp","climateController.heater_power"
2.16e+06,288.1513660637991,0,0,266.9499999819992,122.2079756966906
2.16009e+06,288.1513658270067,0,0,266.9427997119884,122.2623264014717
2.16033e+06,288.1513651918978,0,0,266.9227989119565,122.4082138359396
2.16057e+06,288.1513645582572,0,0,266.9027981119244,122.5539261291373
2.16081e+06,288.1513639258797,0,0,266.8827973118924,122.6995096278465
2.16105e+06,288.1513632950873,0,0,266.8627965118604,122.8448891940667
2.16129e+06,288.151362664295,0,0,266.8427957118284,122.9904297271462
2.16153e+06,288.151362035933,0,0,266.8227949117964,123.1355697043847
2.16177e+06,288.1513614103996,0,0,266.8027941117645,123.2802152806522
2.16201e+06,288.1513607848663,0,0,266.7827933117325,123.4250195831223
2.16225e+06,288.1513601593329,0,0,266.7627925117004,123.5699827860571
2.16249e+06,288.1513595337995,0,0,266.7427917116685,123.7151050243259
2.16273e+06,288.151358908266,0,0,266.7227909116364,123.8603864460253
2.16297e+06,288.1513582844388,0,0,266.7027901116044,124.0054302898509
2.16321e+06,288.1513576620214,0,0,266.6827893115724,124.1503043990706
2.16345e+06,288.1513570407251,0,0,266.6627885115404,124.2950751823899
2.1636e+06,288.1513566454186,0,0,266.65,124.3872692196701
2.1636e+06,288.1513566454186,0,0,266.6499999819696,124.3872692196701
2.16369e+06,288.1513564202709,0,0,266.6427877115084,124.4398070597492
2.16393e+06,288.1513558007758,0,0,266.6227869114764,124.5844721629407
2.16417e+06,288.1513551826553,0,0,266.6027861114445,124.7289727289684
2.16441e+06,288.1513545657107,0,0,266.5827853114124,124.8733544033116
2.16465e+06,288.1513539502639,0,0,266.5627845113804,125.0175409942191
2.16489e+06,288.1513533348169,0,0,266.5427837113484,125.1618829725804
2.16513e+06,288.1513527216056,0,0,266.5227829113164,125.3058552885403
2.16537e+06,288.1513521110948,0,0,266.5027821112844,125.449347101399
2.16561e+06,288.1513515005839,0,0,266.4827813112524,125.5929922231631
2.16585e+06,288.151350890073,0,0,266.4627805112204,125.7367907790128
2.16609e+06,288.1513502795622,0,0,266.4427797111884,125.8807429343694
2.16633e+06,288.1513496690513,0,0,266.4227789111565,126.0248488145613
2.16657e+06,288.1513490601021,0,0,266.4027781111244,126.168739352058
2.16681e+06,288.1513484525222,0,0,266.3827773110924,126.3124590183569
2.16705e+06,288.1513478460068,0,0,266.3627765110604,126.4560791442749
2.1672e+06,288.1513474633304,0,0,266.35,126.5467735477404
2.1672e+06,288.1513474633304,0,0,266.3499999698982,126.5467735477404
2.16729e+06,288.151347116391,0,0,266.3379595183807,126.6290506904741
2.16753e+06,288.1513461688879,0,0,266.3046248516607,126.8540064845645
2.16777e+06,288.1513452237628,0,0,266.2712901849407,127.0787688064173
2.16801e+06,288.151344280663,0,0,266.2379555182207,127.3034194734982
2.16825e+06,288.151343340181,0,0,266.2046208515007,127.5278151237719
2.16849e+06,288.151342399699,0,0,266.1712861847807,127.752579343124
2.16873e+06,288.1513414630277,0,0,266.1379515180607,127.9767996547776
2.16897e+06,288.151340531135,0,0,266.1046168513407,128.2002398768122
2.16921e+06,288.1513395992422,0,0,266.0712821846207,128.4240434502875
2.16945e+06,288.1513386673494,0,0,266.0379475179007,128.648210886254
2.16969e+06,288.1513377354566,0,0,266.0046128511807,128.8727426550822
2.16993e+06,288.1513368035638,0,0,265.9712781844607,129.0976392685041
2.17017e+06,288.1513358748047,0,0,265.9379435177407,129.3221431404117
2.17041e+06,288.151334948958,0,0,265.9046088510207,129.5463046550267
2.17065e+06,288.1513340251722,0,0,265.8712741843007,129.770327609418
2.1708e+06,288.1513334534939,0,0,265.85,129.9091431584847
2.1708e+06,288.1513334534939,0,0,265.8499999698498,129.9091431584847
2.17089e+06,288.1513331030939,0,0,265.8379395175807,129.9942959585646
2.17113e+06,288.1513321829235,0,0,265.8046048508607,130.2181594171814
2.17137e+06,288.1513312649665,0,0,265.7712701841407,130.4418416860103
2.17161e+06,288.1513303488834,0,0,265.7379355174206,130.6654236470101
2.17185e+06,288.1513294352626,0,0,265.7046008507007,130.8887596025207
2.17209e+06,288.1513285216417,0,0,265.6712661839807,131.1124505282265
2.17233e+06,288.1513276114982,0,0,265.6379315172607,131.3356434638482
2.17257e+06,288.1513267058948,0,0,265.6045968505407,131.5580735992499
2.17281e+06,288.1513258002913,0,0,265.5712621838206,131.7808538905063
2.17305e+06,288.1513248946879,0,0,265.5379275171006,132.0039847707979
2.17329e+06,288.1513239890845,0,0,265.5045928503807,132.2274667155456
2.17353e+06,288.151323083481,0,0,265.4712581836607,132.4513001864973
2.17377e+06,288.1513221807111,0,0,265.4379235169407,132.6747836453214
2.17401e+06,288.1513212807498,0,0,265.4045888502207,132.8979204603337
2.17425e+06,288.1513203827399,0,0,265.3712541835006,133.1209208138362
2.1744e+06,288.1513198278844,0,0,265.35,133.2588802107466
2.1744e+06,288.1513198278844,0,0,265.3499999758392,133.2588802107466
2.17449e+06,288.1513195454809,0,0,265.3403356134245,133.3291480425024
2.17473e+06,288.151318813965,0,0,265.3136678800485,133.5113243964539
2.17497e+06,288.1513180839833,0,0,265.2870001466725,133.6933490095564
2.17521e+06,288.1513173552929,0,0,265.2603324132965,133.8752814108426
2.17545e+06,288.151316628324,0,0,265.2336646799205,134.0570129550431
2.17569e+06,288.1513159013552,0,0,265.2069969465445,134.2389734482743
2.17593e+06,288.1513151767495,0,0,265.1803292131685,134.4205705167487
2.17617e+06,288.1513144553476,0,0,265.1536614797925,134.6015910924225
2.17641e+06,288.1513137339458,0,0,265.1269937464165,134.7828378315544
2.17665e+06,288.1513130125439,0,0,265.1003260130405,134.9643109549442
2.17689e+06,288.1513122911421,0,0,265.0736582796645,135.1460107264147
2.17713e+06,288.1513115697402,0,0,265.0469905462885,135.3279373670151
2.17737e+06,288.1513108501268,0,0,265.0203228129125,135.5096392444734
2.17761e+06,288.1513101324007,0,0,264.9936550795365,135.6910899005738
2.17785e+06,288.1513094159934,0,0,264.9669873461605,135.8724317806653
2.178e+06,288.1513089773227,0,0,264.95,135.9835819835545
2.178e+06,288.1513089773227,0,0,264.9499999757991,135.9835819835545
2.17809e+06,288.1513087005666,0,0,264.9403196127845,136.0537496899101
2.17833e+06,288.1513079862593,0,0,264.9136518794085,136.2350076189679
2.17857e+06,288.1513072733973,0,0,264.8869841460324,136.4161219270657
2.17881e+06,288.1513065617446,0,0,264.8603164126565,136.5971515450093
2.17905e+06,288.1513058517282,0,0,264.8336486792805,136.7779867723071
2.17929e+06,288.1513051417118,0,0,264.8069809459045,136.9590438039866
2.17953e+06,288.1513044338781,0,0,264.7803132125285,137.1397652229418
2.17977e+06,288.1513037291181,0,0,264.7536454791525,137.3199213601625
2.18001e+06,288.151303024358,0,0,264.7269777457765,137.5002966941573
2.18025e+06,288.151302319598,0,0,264.7003100124005,137.6808914457093
2.18049e+06,288.1513016148379,0,0,264.6736422790245,137.8617058357021
2.18073e+06,288.1513009100779,0,0,264.6469745456484,138.0427400851203
2.18097e+06,288.1513002069512,0,0,264.6203068122725,138.2235740741496
2.18121e+06,288.1512995056822,0,0,264.5936390788964,138.4041487024554
2.18145e+06,288.1512988056338,0,0,264.5669713455205,138.5846268318041
2.1816e+06,288.1512983763155,0,0,264.55,138.6954162661841
2.1816e+06,288.1512983763155,0,0,264.5499999757595,138.6954162661841
2.18169e+06,288.1512981065637,0,0,264.5403036121445,138.7650700531165
2.18193e+06,288.1512974086262,0,0,264.5136358787685,138.9454378215227
2.18217e+06,288.1512967120489,0,0,264.4869681453924,139.1256703718933
2.18241e+06,288.1512960166031,0,0,264.4603004120164,139.3058259273063
2.18265e+06,288.1512953227105,0,0,264.4336326786405,139.4857941754042
2.18289e+06,288.1512946288179,0,0,264.4069649452645,139.665977471541
2.18313e+06,288.1512939369385,0,0,264.3802972118884,139.84585233191
2.18337e+06,288.1512932480042,0,0,264.3536294785125,140.0251743925988
2.18361e+06,288.1512925590699,0,0,264.3269617451364,140.2047090489107
2.18385e+06,288.1512918701356,0,0,264.3002940117605,140.3844565380854
2.18409e+06,288.1512911812013,0,0,264.2736262783845,140.5644170381626
2.18433e+06,288.151290492267,0,0,264.2469585450085,140.7445907866278
2.18457e+06,288.1512898048221,0,0,264.2202908116324,140.9245877511097
2.18481e+06,288.1512891192065,0,0,264.1936230782565,141.1043176395162
2.18505e+06,288.1512884347138,0,0,264.1669553448804,141.2839644361372
2.1852e+06,288.1512880135261,0,0,264.15,141.3946111693696
2.1852e+06,288.1512880135261,0,0,264.1499999635747,141.3946111693696
2.18529e+06,288.1512876379929,0,0,264.1354314172567,141.4933319150253
2.18553e+06,288.151286645137,0,0,264.0954298171927,141.7546422257542
2.18577e+06,288.1512856546434,0,0,264.0554282171287,142.0157748938242
2.18601e+06,288.1512846661014,0,0,264.0154266170646,142.2768359433735
2.18625e+06,288.1512836802837,0,0,263.9754250170006,142.537618811686
2.18649e+06,288.151282694466,0,0,263.9354234169367,142.7988429332112
2.18673e+06,288.1512817120639,0,0,263.8954218168727,143.0596015351749
2.18697e+06,288.1512807348701,0,0,263.8554202168086,143.3194136459805
2.18721e+06,288.1512797576762,0,0,263.8154186167447,143.5796611208893
2.18745e+06,288.1512787804824,0,0,263.7754170166806,143.8403445568456
2.18769e+06,288.1512778032886,0,0,263.7354154166166,144.1014645359255
2.18793e+06,288.1512768260947,0,0,263.6954138165527,144.3630216861178
2.18817e+06,288.1512758516219,0,0,263.6554122164886,144.6242864459628
2.18841e+06,288.1512748807704,0,0,263.6154106164246,144.8850137972951
2.18865e+06,288.1512739119278,0,0,263.5754090163607,145.1456335379768
2.1888e+06,288.1512733086427,0,0,263.55,145.3081361636825
2.1888e+06,288.1512733086427,0,0,263.5499999513599,145.3081361636825
2.18889e+06,288.1512728343165,0,0,263.5305432217289,145.4360197753701
2.18913e+06,288.1512715667245,0,0,263.4772077549768,145.7782857692256
2.18937e+06,288.1512703027302,0,0,263.4238722882249,146.1203192046903
2.18961e+06,288.1512690416874,0,0,263.3705368214729,146.4622904997166
2.18985e+06,288.1512677848241,0,0,263.3172013547208,146.8038616614168
2.19009e+06,288.1512665279609,0,0,263.2638658879688,147.1461661774054
2.19033e+06,288.151265276171,0,0,263.2105304212168,147.4878191546094
2.19057e+06,288.151264032423,0,0,263.1571949544648,147.8280002258152
2.19081e+06,288.151262788675,0,0,263.1038594877128,148.1689031533209
2.19105e+06,288.151261544927,0,0,263.0505240209608,148.5105292104181
2.19129e+06,288.1512603011789,0,0,262.9971885542088,148.8528796244653
2.19153e+06,288.1512590574309,0,0,262.9438530874568,149.1959556391694
2.19177e+06,288.1512578177978,0,0,262.8905176207048,149.5386198085631
2.19201e+06,288.1512565840872,0,0,262.8371821539528,149.8803649998626
2.19225e+06,288.1512553534066,0,0,262.7838466872008,150.2219857765383
2.1924e+06,288.1512545864039,0,0,262.75,150.4352574137883
2.1924e+06,288.1512545864039,9.236178918295787e-13,9.236178918295787e-13,262.7499999512744,150.4352574137883
2.19249e+06,288.1512541255106,3.694198117925827e-07,3.694198117925827e-07,262.7305112204488,150.5635464623526
2.19273e+06,288.1512529005688,1.380420938759069e-06,1.380420938759069e-06,262.6771757536968,150.9049960629785
2.19297e+06,288.151251678952,2.391422065725555e-06,2.391422065725555e-06,262.6238402869448,151.246226951779
2.19321e+06,288.1512504600473,3.40242319269008e-06,3.40242319269008e-06,262.5705048201928,151.5874062771617
2.19345e+06,288.1512492450393,4.413424319656565e-06,4.413424319656565e-06,262.5171693534408,151.9281978621492
2.19369e+06,288.1512480300314,5.424425446623051e-06,5.424425446623051e-06,262.4638338866887,152.269692484041
2.19393e+06,288.1512468196162,6.435426573589538e-06,6.435426573589538e-06,262.4104984199367,152.6105964568336
2.19417e+06,288.1512456167713,7.446427700554063e-06,7.446427700554063e-06,262.3571629531848,152.9500617869823
2.19441e+06,288.1512444139265,8.457428827520549e-06,8.457428827520549e-06,262.3038274864327,153.290219564146
2.19465e+06,288.1512432110816,9.468429954487035e-06,9.468429954487035e-06,262.2504920196807,153.6310709379901
2.19489e+06,288.1512420082368,1.047943108145156e-05,1.047943108145156e-05,262.1971565529288,153.9726170104453
2.19513e+06,288.1512408053919,1.149043220841805e-05,1.406319861469023e-05,262.1438210861767,154.3148589485384
2.19537e+06,288.151239606212,1.250143333538453e-05,1.824953360199237e-05,262.0904856194247,154.6567519184204
2.19561e+06,288.1512384127424,1.351243446234905e-05,2.298606223522226e-05,262.0371501526728,154.9977057473773
2.19585e+06,288.1512372220053,1.452343558931554e-05,2.828041281248547e-05,261.9838146859207,155.338564966188
2.196e+06,288.1512364744735,1.516441030381192e-05,3.192812162675866e-05,261.95,155.5529033097371
2.196e+06,288.1512364744735,1.516444453573496e-05,3.192816979971319e-05,261.9499999877979,155.5529033097371
2.19609e+06,288.1512363461659,2.885538756520607e-05,5.155268398960077e-05,261.9451198047922,155.5897198976431
2.19633e+06,288.1512360132862,6.626242926289363e-05,0.0001088505190393154,261.9317859381042,155.685273672574
2.19657e+06,288.1512356809934,0.0001036694709606538,0.0001715930075355148,261.9184520714161,155.7807125591875
2.19681e+06,288.1512353491774,0.0001410765126584139,0.0002398255014874125,261.9051182047282,155.8760679481406
2.19705e+06,288.1512350180537,0.0001784835543561015,0.000313558492218537,261.8917843380402,155.9712776537839
2.19729e+06,288.15123468693,0.0002158905960538617,0.0003927673044385544,261.8784504713522,156.0665405759668
2.19753e+06,288.1512343565971,0.0002533566818309141,0.0004774514793379635,261.8651166046641,156.1616290689449
