"time","air.T","air.RH","lightAbsorption.panels_NIR_transmitted[1]","lightAbsorption.panels_PAR_transmitted[1]","soil.heatCapacitor1.T","soil.heatCapacitor2.T","soil.heatCapacitor3.T","soil.heatCapacitor4.T","soil.heatCapacitor5.T","climateController.heater_power","weatherFromFile.weather.air_temp"
1.54302e+06,288.1511143446727,0.2441005871532576,1.368648529023484e-05,1.16237269273687e-05,286.1570312252626,284.4742828145408,283.0432070533834,281.6099573159377,280.1030469054874,97.20359684910196,272.7734289371575
1.54326e+06,288.1511147493421,0.2442524658362642,1.130315974253346e-05,9.599604242981052e-06,286.1530720346929,284.4748976204878,283.0432051261278,281.6097664506969,280.1029502602939,97.13259641973998,272.7867628038455
1.5435e+06,288.1511151540116,0.2444043445116212,8.919834194829775e-06,7.575481558591436e-06,286.1491128441232,284.4755124264348,283.0432031988722,281.6095755854561,280.1028536151006,97.06164227555131,272.8000966705335
1.54374e+06,288.151115558681,0.2445562231793281,6.536508647128398e-06,5.551358874203784e-06,286.1451536535535,284.4761272323817,283.0432012716165,281.6093847202154,280.1027569699071,96.99073439450667,272.8134305372214
1.54398e+06,288.1511159643935,0.244709172449852,4.153183099427018e-06,3.52723618981613e-06,286.1412202332343,284.4767242016592,283.0432007345819,281.6091948448694,280.1026605453891,96.91969017115287,272.8267644039095
1.54422e+06,288.1511163707071,0.2448627388557293,1.76985755172333e-06,1.503113505426515e-06,286.1373016679279,284.4773108891602,283.0432009989269,281.6090055401388,280.1025642480772,96.84858722693768,272.8400982705975
1.5444e+06,288.1511166676304,0.2449768346423524,0,0,286.1343931612852,284.4777455786491,283.0432012714321,281.6088650171115,280.1024927498644,96.79665653882353,272.85
1.5444e+06,288.1511166676304,0.2449768346423524,0,0,286.1343931612852,284.4777455786491,283.0432012714321,281.6088650171115,280.1024927498644,96.79665653882353,272.8500000128705
1.54446e+06,288.1511168420358,0.2450164651736036,0,0,286.1333867645565,284.4778950589333,283.0432014578425,281.6088163754884,280.1024679820493,96.76616532581916,272.8551482059282
1.5447e+06,288.1511175017526,0.2451714345544038,0,0,286.1294956031883,284.4784632356417,283.0432031244131,281.6086281066658,280.1023719170716,96.65090490089634,272.8751490059602
