"time","air.T","climateController.heater_power","lightAbsorption.panels_NIR_transmitted[1]","lightAbsorption.panels_NIR_transmitted[2]","lightAbsorption.panels_PAR_transmitted[1]","lightAbsorption.panels_PAR_transmitted[2]","air.RH","soil.heatCapacitor1.T","soil.heatCapacitor2.T","soil.heatCapacitor5.T","soil.heatCapacitor3.T","soil.heatCapacitor4.T","weatherFromFile.weather.air_temp"
1.66375e+06,288.1515902401252,3.990692939155094,0,0,0,0,0.4167699447823586,289.9650372562207,290.7075260277912,290.8660113020169,291.0219009248528,291.0725479514176,273.234818059389
1.66399e+06,288.1515881970749,4.006378040667053,0,0,0,0,0.4166041037243055,289.9627927666804,290.7063981217289,290.8653082079026,291.0212061521699,291.0718725376776,273.228151126045
1.66423e+06,288.1515861540246,4.022122208558004,0,0,0,0,0.4164382626240749,289.9605482771401,290.7052702156665,290.8646051137883,291.020511379487,291.0711971239376,273.221484192701
1.66447e+06,288.1515841427686,4.037679254655346,0,0,0,0,0.4162710650194609,289.9583239773292,290.7041366463811,290.8639025011103,291.0198129902712,291.0705212706295,273.214817259357
1.66471e+06,288.1515821429261,4.053205157741835,0,0,0,0,0.4161033804228745,289.956106925337,290.7030010440809,290.8632000612607,291.0191133027729,291.0698452595228,273.208150326013
1.66495e+06,288.1515801430838,4.068788230113086,0,0,0,0,0.4159356957845423,289.9538898733448,290.7018654417807,290.8624976214113,291.0184136152745,291.0691692484161,273.201483392669
1.66519e+06,288.1515781432414,4.08442866322426,0,0,0,0,0.4157680111044659,289.9516728213526,290.7007298394806,290.8617951815617,291.0177139277762,291.0684932373094,273.194816459325
1.66543e+06,288.1515761504939,4.100070854774835,0,0,0,0,0.4156001190633154,289.9494588450232,290.6995933918387,290.8610928150493,291.0170136830757,291.0678171559144,273.188149525981
1.66567e+06,288.1515741871839,4.115538044342538,0,0,0,0,0.4154313667971275,289.947257629851,290.69845343681,290.860390752818,291.0163111265009,291.0671407828877,273.181482592637
1.66591e+06,288.1515722238738,4.131061069620551,0,0,0,0,0.4152626144896985,289.9450564146789,290.6973134817814,290.8596886905867,291.0156085699262,291.0664644098611,273.174815659293
1.66615e+06,288.1515702731483,4.146540074754274,0,0,0,0,0.4150934492577759,289.9428613096825,290.696171872613,290.8589867740098,291.0149048974895,291.0657878923438,273.168148725949
1.66639e+06,288.1515683333,4.161987786298465,0,0,0,0,0.4149239271141073,289.9406714859439,290.6950288337085,290.8582849833273,291.0142002605706,291.0651112499379,273.161481792605
1.66663e+06,288.1515664029899,4.177414177978999,0,0,0,0,0.4147541013089791,289.9384861483931,290.6938845924636,290.8575832995604,291.0134948000997,291.0644344990887,273.154814859261
1.6668e+06,288.1515650648498,4.188140224842169,0,0,0,0,0.4146313250321614,289.936910322011,290.6930575721447,290.8570766007717,291.0129848712803,291.0639456905051,273.15
1.6668e+06,288.1515650648498,4.188140224842169,0,0,0,0,0.4146313250321614,289.936910322011,290.6930575721447,290.8570766007717,291.0129848712803,291.0639456905051,273.1499999953695
1.66687e+06,288.1515644860894,4.192787512680029,0,0,0,0,0.4145840738793816,289.9363044552578,290.692739376531,290.8568817025433,291.0127886710798,291.0637576600745,273.148147925917
1.66711e+06,288.1515625878036,4.208064864184596,0,0,0,0,0.4144137451405772,289.9341289993754,290.6915925015066,290.8561802542325,291.0120813915587,291.0630806675362,273.141480992573
1.66735e+06,288.1515607005929,4.223305831111468,0,0,0,0,0.4142431328295576,289.9319602142182,290.690443870187,290.855478964781,291.0113728767808,291.0624035076715,273.134814059229
1.66759e+06,288.1515588320924,4.238447671022283,0,0,0,0,0.4140719659413454,289.9298044274692,290.6892918848035,290.854777984481,291.0106619327182,291.0617260085261,273.128147125885
1.66783e+06,288.1515569635919,4.253641388464207,0,0,0,0,0.4139007990133226,289.9276486407203,290.6881398994201,290.854077004181,291.0099509886555,291.0610485093807,273.121480192541
1.66807e+06,288.151555121499,4.268671310934796,0,0,0,0,0.4137288369350445,289.9255113629887,290.6869833173483,290.8533764625548,291.0092365288872,291.0603704916519,273.114813259197
1.66831e+06,288.151553289342,4.283670486015517,0,0,0,0,0.4135565756587778,289.923381049236,290.6858250057821,290.8526760859787,291.0085207463421,291.0596922788072,273.108146325853
1.66855e+06,288.1515514571849,4.298719998764372,0,0,0,0,0.4133843143432256,289.9212507354831,290.684666694216,290.8519757094026,291.007804963797,291.0590140659625,273.101479392509
1.66879e+06,288.1515496250278,4.313820000994167,0,0,0,0,0.413212052988386,289.9191204217303,290.6835083826499,290.8512753328265,291.0070891812518,291.0583358531177,273.094812459165
1.66903e+06,288.1515477982394,4.328926175921222,0,0,0,0,0.4130396814430902,289.9169926678526,290.6823494497648,290.850575016784,291.0063729078871,291.0576575656297,273.088145525821
1.66927e+06,288.1515459967347,4.343872727430981,0,0,0,0,0.4128667911118499,289.9148769694746,290.6811875908348,290.8498749858194,291.0056543230521,291.0569789266154,273.081478592477
